open_time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2023-07-06,1909.88,1957.94,1844.47,1844.82,4219617.366,2023-07-06 23:59:59.999,8025247594.29251,3152119,2057982.477,3915836529.02027,0
2023-07-07,1844.81,1877.51,1823.74,1870.0,2150375.881,2023-07-07 23:59:59.999,3994359583.46465,1880387,1042857.500,1937342003.66714,0
2023-07-08,1870.0,1873.1,1841.28,1864.45,1144653.748,2023-07-08 23:59:59.999,2127599970.73217,1140915,554985.308,1031638575.51181,0
2023-07-09,1864.45,1878.98,1855.2,1861.81,1315813.529,2023-07-09 23:59:59.999,2455983243.42244,1242924,649584.518,1212551153.40483,0
2023-07-10,1861.81,1904.96,1845.09,1879.34,2457486.761,2023-07-10 23:59:59.999,4599947109.42808,1893733,1257725.227,2354609787.44919,0
2023-07-11,1879.35,1892.32,1861.1,1877.66,1690867.909,2023-07-11 23:59:59.999,3168583574.56770,1481905,827010.251,1549910425.24150,0
2023-07-12,1877.66,1901.86,1863.15,1870.81,2514859.274,2023-07-12 23:59:59.999,4739014879.90064,2096738,1254990.160,2365212494.01906,0
2023-07-13,1870.82,2014.8,1861.59,2004.78,5072952.783,2023-07-13 23:59:59.999,9872664104.00889,3321989,2644445.768,5147581658.61575,0
2023-07-14,2004.77,2031.28,1896.8,1936.74,4202754.58,2023-07-14 23:59:59.999,8269315805.54650,3071455,2059111.021,4053421710.97666,0
2023-07-15,1936.74,1945.89,1925.54,1930.4,1111948.993,2023-07-15 23:59:59.999,2150367734.53819,1118661,545402.380,1054795469.91407,0
2023-07-16,1930.4,1942.78,1912.09,1920.97,1270216.239,2023-07-16 23:59:59.999,2450221634.39045,1207129,627896.640,1211296705.60358,0
2023-07-17,1920.97,1935.45,1872.0,1910.37,2551243.537,2023-07-17 23:59:59.999,4862622170.96846,2036621,1254136.356,2390640011.10460,0
2023-07-18,1910.37,1916.62,1875.0,1896.46,1989216.045,2023-07-18 23:59:59.999,3773730051.42879,1697737,969002.119,1838454108.77460,0
2023-07-19,1896.47,1925.0,1881.0,1887.55,2046151.353,2023-07-19 23:59:59.999,3896411754.63565,1922215,1012288.970,1927862728.48311,0
2023-07-20,1887.55,1928.81,1875.6,1890.56,2682007.64,2023-07-20 23:59:59.999,5094834736.36539,2322459,1327609.113,2522542496.07014,0
2023-07-21,1890.56,1905.97,1883.42,1890.84,1423334.683,2023-07-21 23:59:59.999,2693663745.42729,1367103,689935.958,1305889938.35254,0
2023-07-22,1890.84,1896.85,1835.39,1865.6,1146954.994,2023-07-22 23:59:59.999,2154869158.92295,1075435,532186.047,1000228577.21009,0
2023-07-23,1865.6,1904.57,1856.68,1887.86,1545904.444,2023-07-23 23:59:59.999,2907676982.84785,1409113,793198.550,1491978313.51174,0
2023-07-24,1887.85,1890.2,1829.0,1849.04,2113287.416,2023-07-24 23:59:59.999,3919275815.32224,1897904,996408.233,1847680176.13681,0
2023-07-25,1849.04,1868.54,1844.5,1856.91,1320722.986,2023-07-25 23:59:59.999,2451833082.62795,1328165,662243.950,1229477142.93225,0
2023-07-26,1856.91,1887.79,1846.9,1870.98,1946701.756,2023-07-26 23:59:59.999,3628405350.49632,1708874,1005260.859,1873907356.63653,0
2023-07-27,1870.97,1885.57,1854.0,1860.28,1593279.389,2023-07-27 23:59:59.999,2978878030.26490,1417004,779440.579,1457276599.42233,0
2023-07-28,1860.29,1883.76,1855.57,1873.39,1378048.23,2023-07-28 23:59:59.999,2576729426.74340,1219487,693925.831,1297560912.84423,0
2023-07-29,1873.38,1886.19,1868.56,1879.85,749505.043,2023-07-29 23:59:59.999,1405661589.82189,751626,388500.308,728653364.67202,0
2023-07-30,1879.86,1885.0,1845.56,1860.76,1386061.233,2023-07-30 23:59:59.999,2588400428.31909,1210044,670091.701,1251499550.35679,0
2023-07-31,1860.77,1876.73,1850.08,1855.39,1421399.856,2023-07-31 23:59:59.999,2648009197.68637,1219991,700919.539,1305915442.04879,0
2023-08-01,1855.4,1875.87,1808.47,1873.05,2857111.757,2023-08-01 23:59:59.999,5253762221.92050,1998672,1427051.020,2624935205.76073,0
2023-08-02,1873.06,1879.27,1820.0,1839.07,2433052.599,2023-08-02 23:59:59.999,4499307943.90133,1819159,1173293.130,2169843298.13394,0
2023-08-03,1839.07,1858.9,1825.0,1834.69,1708783.419,2023-08-03 23:59:59.999,3145302649.42659,1355571,845442.710,1556344906.98860,0
2023-08-04,1834.69,1851.0,1808.77,1829.4,1914149.705,2023-08-04 23:59:59.999,3512140548.40425,1496727,951612.842,1746523507.72868,0
2023-08-05,1829.4,1838.62,1826.7,1835.5,649573.659,2023-08-05 23:59:59.999,1190327889.76681,634724,325352.514,596212794.12981,0
2023-08-06,1835.5,1838.6,1825.0,1829.38,804165.426,2023-08-06 23:59:59.999,1473035578.85485,704305,391074.683,716376190.21179,0
2023-08-07,1829.39,1846.86,1800.0,1828.18,2235036.668,2023-08-07 23:59:59.999,4078589895.09430,1694489,1104861.941,2016417338.40522,0
2023-08-08,1828.18,1878.0,1825.35,1855.36,2299167.676,2023-08-08 23:59:59.999,4246702788.46169,1782666,1189879.770,2198223583.18393,0
2023-08-09,1855.36,1871.28,1845.18,1854.7,1405393.116,2023-08-09 23:59:59.999,2608828366.62844,1203325,707642.124,1313665276.21180,0
2023-08-10,1854.69,1865.38,1844.81,1851.42,1190359.595,2023-08-10 23:59:59.999,2206051375.26295,1022074,580202.134,1075359575.26292,0
2023-08-11,1851.43,1857.99,1834.52,1848.04,1079579.87,2023-08-11 23:59:59.999,1994538363.42238,894262,526457.122,972773800.02674,0
2023-08-12,1848.04,1853.02,1845.35,1849.14,450661.209,2023-08-12 23:59:59.999,833424956.61809,478354,223779.048,413851499.05956,0
2023-08-13,1849.14,1861.93,1833.4,1840.09,841324.653,2023-08-13 23:59:59.999,1554669146.88981,746373,413565.853,764309121.11672,0
2023-08-14,1840.09,1855.86,1834.28,1844.81,1283582.445,2023-08-14 23:59:59.999,2369924279.03675,1058520,633864.721,1170351292.33259,0
2023-08-15,1844.8,1846.75,1810.92,1828.28,1212865.745,2023-08-15 23:59:59.999,2224006399.87829,1000802,554621.718,1017020706.03046,0
2023-08-16,1828.27,1830.87,1791.11,1807.19,1557481.275,2023-08-16 23:59:59.999,2830987601.01116,1334812,756394.010,1375107712.58889,0
2023-08-17,1807.19,1809.66,1492.66,1681.0,5897283.822,2023-08-17 23:59:59.999,10069596308.31243,4001486,2770969.223,4728878843.88751,0
2023-08-18,1681.0,1698.98,1638.48,1660.76,2961785.532,2023-08-18 23:59:59.999,4956722774.94701,2799834,1456021.279,2436920133.34704,0
2023-08-19,1660.76,1696.14,1653.36,1668.69,1374954.312,2023-08-19 23:59:59.999,2295511190.10816,1251150,659459.536,1101262541.12500,0
2023-08-20,1668.7,1694.36,1660.22,1684.16,1165848.58,2023-08-20 23:59:59.999,1950618000.36989,1059429,569849.606,953596496.62451,0
2023-08-21,1684.15,1687.78,1647.22,1666.79,1716607.681,2023-08-21 23:59:59.999,2864914067.06811,1393442,839563.063,1401314659.34083,0
2023-08-22,1666.8,1668.57,1575.0,1634.5,2628650.16,2023-08-22 23:59:59.999,4297253119.31144,2461726,1282150.613,2096662806.13178,0
2023-08-23,1634.49,1703.85,1628.5,1678.8,2809971.177,2023-08-23 23:59:59.999,4668477789.68188,3320788,1426411.606,2370270396.66141,0
2023-08-24,1678.79,1682.88,1631.66,1660.22,1739875.239,2023-08-24 23:59:59.999,2884193910.79672,1485826,867292.244,1437771560.47395,0
2023-08-25,1660.23,1676.73,1634.43,1653.24,1842552.274,2023-08-25 23:59:59.999,3043887039.99092,1693684,932169.939,1540066750.87766,0
