datetime,open,high,low,close,volume
2025-12-06 09:00:00,0.18647,0.2455,0.17,0.23554,189836883
2025-12-06 10:00:00,0.23529,0.25488,0.21606,0.24876,134711003
2025-12-06 11:00:00,0.2489,0.256,0.20247,0.21919,175604702
2025-12-06 12:00:00,0.21908,0.23118,0.21072,0.22502,90107687
2025-12-06 13:00:00,0.22499,0.2344,0.21342,0.22965,56442139
2025-12-06 14:00:00,0.22965,0.24092,0.21846,0.22151,69135928
2025-12-06 15:00:00,0.22147,0.22557,0.20635,0.21425,50822064
2025-12-06 16:00:00,0.21425,0.22888,0.21155,0.22235,42234055
2025-12-06 17:00:00,0.22235,0.22655,0.21572,0.2225,25537963
2025-12-06 18:00:00,0.22262,0.2345,0.22251,0.22935,27731349
2025-12-06 19:00:00,0.22942,0.28294,0.21923,0.26585,100407984
2025-12-06 20:00:00,0.26573,0.27592,0.248,0.25448,81728642
2025-12-06 21:00:00,0.25458,0.26461,0.23572,0.24812,46690814
2025-12-06 22:00:00,0.24813,0.25928,0.24355,0.25501,28807621
2025-12-06 23:00:00,0.25501,0.25779,0.2058,0.22864,45900096
2025-12-07 00:00:00,0.22865,0.24042,0.22169,0.22913,33984873
2025-12-07 01:00:00,0.22916,0.2325,0.20812,0.2166,31039341
2025-12-07 02:00:00,0.21653,0.2218,0.20674,0.21524,34820839
2025-12-07 03:00:00,0.21527,0.2316,0.21374,0.22892,26640537
2025-12-07 04:00:00,0.22902,0.23739,0.22522,0.23089,27425353
2025-12-07 05:00:00,0.23089,0.23831,0.22808,0.23666,23428411
2025-12-07 06:00:00,0.23665,0.246,0.228,0.23312,37542773
2025-12-07 07:00:00,0.23315,0.24286,0.2305,0.23707,25588292
2025-12-07 08:00:00,0.2372,0.23892,0.22188,0.2265,30311192
2025-12-07 09:00:00,0.22642,0.23172,0.22223,0.22313,18414750
2025-12-07 10:00:00,0.22309,0.22329,0.20196,0.208,44477364
2025-12-07 11:00:00,0.20791,0.20791,0.188,0.1985,54622345
2025-12-07 12:00:00,0.19837,0.19837,0.18569,0.19348,38351253
2025-12-07 13:00:00,0.1934,0.20719,0.19028,0.19887,36661293
