datetime,open,high,low,close,volume
2026-03-09 22:00:00,0.36675,0.3695,0.36344,0.3689,9010814
2026-03-09 23:00:00,0.3689,0.3751,0.36421,0.37002,14523801
2026-03-10 00:00:00,0.37002,0.37971,0.36844,0.37826,21119169
2026-03-10 01:00:00,0.37826,0.39404,0.37686,0.38831,30075222
2026-03-10 02:00:00,0.38831,0.38885,0.36143,0.37377,43486979
2026-03-10 03:00:00,0.37389,0.3751,0.36249,0.37168,16395702
2026-03-10 04:00:00,0.37168,0.37316,0.3615,0.36557,12505937
2026-03-10 05:00:00,0.36556,0.37383,0.36318,0.37137,12529396
2026-03-10 06:00:00,0.37137,0.37287,0.3631,0.36485,13099892
2026-03-10 07:00:00,0.36486,0.36749,0.36235,0.36295,6993768
2026-03-10 08:00:00,0.36294,0.36336,0.33315,0.34085,41414601
2026-03-10 09:00:00,0.34084,0.34867,0.33629,0.3479,22034206
2026-03-10 10:00:00,0.34788,0.35323,0.34413,0.35131,16421217
2026-03-10 11:00:00,0.3513,0.3531,0.34103,0.3472,14146392
2026-03-10 12:00:00,0.34726,0.35253,0.34575,0.35079,10771273
2026-03-10 13:00:00,0.3508,0.353,0.34453,0.34942,14140470
2026-03-10 14:00:00,0.34942,0.35399,0.34605,0.35266,12554490
2026-03-10 15:00:00,0.35266,0.35433,0.34292,0.34409,12208141
2026-03-10 16:00:00,0.34408,0.34816,0.34186,0.34511,11440689
2026-03-10 17:00:00,0.34511,0.35218,0.34339,0.35101,7484631
2026-03-10 18:00:00,0.35102,0.35197,0.34538,0.34603,7171214
2026-03-10 19:00:00,0.34605,0.35656,0.34554,0.35393,8853627
2026-03-10 20:00:00,0.35396,0.36438,0.35212,0.36115,12346387
2026-03-10 21:00:00,0.36115,0.36413,0.35587,0.35747,7610295
2026-03-10 22:00:00,0.35749,0.36336,0.35582,0.35688,6418036
2026-03-10 23:00:00,0.35688,0.35999,0.35335,0.3549,6989784
2026-03-11 00:00:00,0.35491,0.3663,0.35491,0.36064,11329868
2026-03-11 01:00:00,0.36063,0.37456,0.35953,0.36976,11631826
2026-03-11 02:00:00,0.36977,0.375,0.36718,0.37189,9975377
2026-03-11 03:00:00,0.37188,0.38351,0.37174,0.37714,15401612
2026-03-11 04:00:00,0.37715,0.38864,0.37713,0.38486,17966683
2026-03-11 05:00:00,0.38487,0.40372,0.38344,0.40236,32018982
2026-03-11 06:00:00,0.40232,0.42083,0.39316,0.39791,56415805
2026-03-11 07:00:00,0.3979,0.40431,0.38133,0.38447,40460500
2026-03-11 08:00:00,0.38448,0.38657,0.36142,0.36375,37800670
2026-03-11 09:00:00,0.36376,0.36713,0.3335,0.34827,58002233
2026-03-11 10:00:00,0.34816,0.34844,0.32192,0.33699,54737585
2026-03-11 11:00:00,0.337,0.35176,0.33583,0.34594,38428183
2026-03-11 12:00:00,0.34594,0.34621,0.33126,0.33323,24071927
2026-03-11 13:00:00,0.33323,0.34367,0.33163,0.34141,17058116
2026-03-11 14:00:00,0.34142,0.35255,0.33811,0.34252,24773652
2026-03-11 15:00:00,0.34252,0.34894,0.33924,0.34219,17963300
2026-03-11 16:00:00,0.3422,0.34439,0.33006,0.34021,26215745
2026-03-11 17:00:00,0.34022,0.34875,0.34003,0.34713,11622532
2026-03-11 18:00:00,0.3471,0.359,0.34427,0.35884,15544250
2026-03-11 19:00:00,0.35884,0.36441,0.35482,0.35796,17446625
2026-03-11 20:00:00,0.35797,0.35853,0.35059,0.3554,14614903
2026-03-11 21:00:00,0.35541,0.36445,0.35376,0.36149,8339834
2026-03-11 22:00:00,0.36149,0.36219,0.3469,0.35818,19385990
2026-03-11 23:00:00,0.35819,0.36393,0.35572,0.36109,10330085
2026-03-12 00:00:00,0.36108,0.36108,0.34959,0.35438,12244252
2026-03-12 01:00:00,0.35439,0.36109,0.35218,0.35996,9098347
2026-03-12 02:00:00,0.35997,0.36051,0.35388,0.35503,9973469
2026-03-12 03:00:00,0.35503,0.3595,0.35237,0.35809,9313221
2026-03-12 04:00:00,0.35808,0.35819,0.34575,0.35312,15598168
2026-03-12 05:00:00,0.3531,0.35527,0.3485,0.3508,8671437
